participant,condition,omega,tau,nll
860,regret_late,0.2414429485797882,0.20678630471229553,27.61368179321289
835,regret_late,0.04960733279585838,0.03012373112142086,2.6318602561950684
753,regret_late,4.646651268005371,1.3258404731750488,32.893863677978516
833,regret_late,0.1325557976961136,0.48018142580986023,32.321712493896484
841,regret_late,0.0321359783411026,1.4058029651641846,32.96168518066406
806,regret_late,3.2956223487854004,0.11922784149646759,25.231674194335938
811,regret_late,0.05872510001063347,0.09649457782506943,12.296957969665527
823,regret_late,0.055802278220653534,0.05577561631798744,14.19158935546875
764,regret_late,0.0355134941637516,0.5574102401733398,31.369365692138672
863,regret_late,0.06288326531648636,0.026077335700392723,1.1523994207382202
780,regret_late,0.06760295480489731,0.2103375941514969,24.57809066772461
770,regret_late,3.5991995334625244,0.26764294505119324,31.146095275878906
795,regret_late,0.029223043471574783,0.047013528645038605,7.725888729095459
813,regret_late,0.013605005107820034,0.04829363524913788,15.402729034423828
758,regret_late,0.49931979179382324,0.11178675293922424,15.415315628051758
786,regret_late,0.05473930016160011,0.11712372303009033,21.525232315063477
831,regret_late,0.007603251375257969,0.06866750121116638,18.48516845703125
800,regret_late,0.04465649276971817,1.5750548839569092,33.081356048583984
762,regret_late,0.13355131447315216,0.06418488174676895,13.213211059570312
815,regret_late,0.025932643562555313,0.6990177035331726,31.345653533935547
875,regret_late,0.021392252296209335,0.0624961294233799,15.849507331848145
869,regret_late,2.5427749156951904,0.0722275897860527,23.886682510375977
778,regret_late,0.08711715042591095,0.45058128237724304,30.613357543945312
842,regret_late,0.13547439873218536,0.07691524177789688,17.137041091918945
766,regret_late,0.07095668464899063,0.031262196600437164,1.2725028991699219
844,regret_late,0.01599935069680214,0.9069497585296631,32.501094818115234
776,regret_late,2.7454302310943604,0.8370840549468994,32.65666198730469
867,regret_late,0.10697556287050247,0.05457118898630142,13.204330444335938
821,regret_late,0.07846123725175858,0.06741999089717865,15.509671211242676
871,regret_late,0.03629312664270401,0.2749919295310974,29.793716430664062
838,regret_late,0.029555587098002434,0.05020696669816971,9.583922386169434
854,regret_late,1.2529881000518799,0.0673675537109375,24.843490600585938
802,regret_late,0.021224094554781914,0.3249281346797943,29.775115966796875
827,regret_late,0.01572958007454872,0.09227700531482697,18.71291732788086
849,regret_late,0.022075997665524483,0.12502875924110413,24.6498966217041
856,regret_late,1.7370316982269287,1.4693553447723389,32.97987365722656
797,regret_late,,,
804,regret_late,0.08313284069299698,0.28223365545272827,29.049571990966797
752,regret_late,2.649388074874878,0.11286163330078125,28.511089324951172
861,regret_late,3.330805778503418,0.18733751773834229,31.39504051208496
817,regret_late,0.07404165714979172,0.0936620756983757,24.66402816772461
858,regret_late,0.011551099829375744,0.1167982891201973,29.051111221313477
840,regret_late,0.015333726070821285,0.09905222058296204,24.88117218017578
774,regret_late,0.27225205302238464,0.10720769315958023,19.643144607543945
819,regret_late,0.023850297555327415,0.19492250680923462,22.149534225463867
807,regret_late,0.009253171272575855,0.08582232147455215,24.92340850830078
829,regret_late,0.02435731515288353,0.9665457606315613,32.270530700683594
792,regret_late,0.04973365366458893,0.019137319177389145,1.2708731889724731
782,regret_late,0.03162669762969017,0.031814586371183395,6.220712184906006
873,regret_late,0.02496989630162716,0.15257945656776428,26.963136672973633
852,regret_late,0.0647037923336029,0.055066000670194626,5.066475868225098
865,regret_late,0.030648071318864822,0.3228086233139038,28.81674575805664
772,regret_late,0.08094906061887741,0.03592471778392792,1.9053544998168945
768,regret_late,1.7427990436553955,0.4001322388648987,31.978994369506836
846,regret_late,0.07449811697006226,0.6269955635070801,31.863845825195312
880,control,0.0,0.08336444944143295,23.043954849243164
898,control,0.0,0.661737859249115,63.924842834472656
941,control,0.0,0.10338085144758224,41.022865295410156
942,control,0.0,0.09006798267364502,38.2315673828125
924,control,0.0,0.29855668544769287,54.84239959716797
940,control,0.0,0.24782830476760864,48.590518951416016
906,control,0.0,0.25563302636146545,55.4705810546875
912,control,0.0,0.1524779349565506,28.64130210876465
916,control,0.0,0.05189312994480133,17.699634552001953
939,control,0.0,0.43940192461013794,62.931968688964844
900,control,0.0,0.39662885665893555,63.830501556396484
894,control,0.0,0.3428081274032593,63.247047424316406
935,control,0.0,0.5846842527389526,60.27672576904297
918,control,0.0,0.0528186559677124,5.129889965057373
910,control,0.0,0.1790812611579895,47.96112060546875
886,control,0.0,0.4281593859195709,61.83662796020508
927,control,0.0,0.1509447991847992,37.78681564331055
913,control,0.0,0.20556695759296417,43.02875518798828
917,control,0.0,0.03532418608665466,2.725501298904419
911,control,0.0,0.026102140545845032,1.2820429801940918
885,control,0.0,0.04836026951670647,1.9883054494857788
938,control,0.0,0.14422659575939178,38.658409118652344
931,control,0.0,0.3713821470737457,60.81541061401367
926,control,0.0,0.03913867846131325,7.430128574371338
923,control,0.0,0.13223154842853546,29.583467483520508
932,control,0.0,0.10419963300228119,32.92902374267578
899,control,0.0,0.08585552126169205,31.774307250976562
905,control,0.0,0.13877853751182556,39.7766227722168
897,control,0.0,0.6372060179710388,62.56252670288086
888,control,0.0,0.03789597004652023,1.3769912719726562
920,control,0.0,0.31380409002304077,61.964073181152344
903,control,0.0,0.24334850907325745,52.758243560791016
915,control,0.0,0.07259079813957214,6.023062705993652
934,control,0.0,0.29819393157958984,57.35790252685547
893,control,0.0,0.3911239802837372,63.7612190246582
929,control,0.0,0.1343717873096466,33.6912956237793
881,control,0.0,0.016770875081419945,3.9643993377685547
922,control,0.0,0.6206203103065491,62.40242385864258
925,control,0.0,0.17760877311229706,56.74674987792969
907,control,0.0,0.13727253675460815,48.50613784790039
882,control,0.0,0.0716950073838234,28.01424789428711
930,control,0.0,0.15411829948425293,45.29375457763672
943,control,0.0,0.7523865103721619,63.626182556152344
892,control,0.0,0.09016631543636322,35.44427490234375
933,control,0.0,0.20559456944465637,39.18019104003906
914,control,0.0,1.2557193040847778,65.43965148925781
890,control,0.0,0.7370227575302124,63.64133834838867
887,control,0.0,0.08584565669298172,32.86892318725586
901,control,0.0,0.1753973811864853,45.7152214050293
944,control,0.0,0.2939338684082031,56.34165573120117
937,control,0.0,0.22696702182292938,46.63593292236328
896,control,0.0,0.0652022659778595,5.1646833419799805
909,control,0.0,0.12142297625541687,49.049217224121094
884,control,0.0,0.5528652667999268,63.86808776855469
936,control,0.0,0.11442578583955765,32.71426773071289
908,control,0.0,0.2135690152645111,52.32205581665039
785,regret_early,0.3997759521007538,0.04663919657468796,21.08127212524414
775,regret_early,0.9315147399902344,0.08027543127536774,18.333984375
822,regret_early,0.19415134191513062,0.2407810091972351,28.771102905273438
839,regret_early,0.012776083312928677,0.09582903981208801,27.290775299072266
761,regret_early,0.1494336724281311,0.3653736114501953,32.61933898925781
809,regret_early,0.7298873662948608,0.05666646733880043,19.285762786865234
791,regret_early,0.9632911086082458,0.02987476997077465,6.403463363647461
857,regret_early,3.1667473316192627,0.07818812131881714,23.620573043823242
763,regret_early,4.38962459564209,0.03878432884812355,25.22979736328125
877,regret_early,3.3163411617279053,0.04566952586174011,23.512285232543945
796,regret_early,0.046507496386766434,0.23441767692565918,28.1540584564209
799,regret_early,0.0657878965139389,0.1771499663591385,24.654582977294922
793,regret_early,0.8273078799247742,0.16033899784088135,26.03618812561035
853,regret_early,0.05224822089076042,0.1450243890285492,14.507206916809082
812,regret_early,0.0424373485147953,0.2890949547290802,26.913610458374023
801,regret_early,0.033258289098739624,0.08810947090387344,18.47611427307129
832,regret_early,0.32793280482292175,0.06297015398740768,15.923993110656738
859,regret_early,0.06619086861610413,0.10330458730459213,17.095590591430664
845,regret_early,0.11958106607198715,0.15499262511730194,16.335350036621094
769,regret_early,0.28396615386009216,0.12432882934808731,24.454666137695312
814,regret_early,0.10319416970014572,0.38700419664382935,30.496288299560547
864,regret_early,1.0321134328842163,0.03613124415278435,18.2030086517334
759,regret_early,0.057422854006290436,0.1400986760854721,21.47290802001953
836,regret_early,1.1032767295837402,0.15630404651165009,27.816787719726562
779,regret_early,0.038777224719524384,0.1172885075211525,28.363574981689453
773,regret_early,0.021595699712634087,0.16881820559501648,27.89551544189453
870,regret_early,3.837736129760742,0.08085408061742783,29.705907821655273
868,regret_early,0.027212461456656456,0.07431343197822571,15.656928062438965
767,regret_early,4.880088806152344,0.028569219633936882,18.17732810974121
830,regret_early,0.07227662205696106,0.2865299582481384,26.330265045166016
771,regret_early,0.2252429574728012,0.1120477020740509,16.466352462768555
777,regret_early,0.038179147988557816,0.043510500341653824,5.4408769607543945
872,regret_early,0.02300996333360672,0.21917282044887543,28.586984634399414
803,regret_early,1.8315104246139526,1.3934824466705322,32.7844352722168
783,regret_early,0.03188468515872955,0.1151568591594696,24.91706657409668
866,regret_early,4.354488372802734,0.12508898973464966,29.313674926757812
855,regret_early,1.2890665531158447,0.19310131669044495,31.285926818847656
876,regret_early,3.7332396507263184,0.05395680293440819,24.243146896362305
754,regret_early,0.07126428931951523,0.13069960474967957,20.06297492980957
755,regret_early,0.009351837448775768,0.08506973832845688,24.437795639038086
850,regret_early,0.035955991595983505,0.08691905438899994,25.070043563842773
828,regret_early,4.160089015960693,1.141858458518982,32.744136810302734
820,regret_early,0.035691119730472565,0.08344326913356781,13.4982271194458
818,regret_early,0.06308267265558243,0.15252868831157684,30.13613510131836
787,regret_early,0.0276571623980999,0.018540039658546448,1.1826598644256592
843,regret_early,3.145237445831299,0.14195901155471802,30.760101318359375
848,regret_early,0.11705268174409866,0.13046881556510925,24.627214431762695
805,regret_early,3.573676586151123,0.11783168464899063,30.27281951904297
874,regret_early,0.07941827923059464,0.11579417437314987,29.593852996826172
765,regret_early,0.05424002557992935,0.14604055881500244,28.618358612060547
789,regret_early,0.04267068952322006,0.17019739747047424,30.133819580078125
826,regret_early,0.2382291555404663,0.17701326310634613,30.046480178833008
757,regret_early,0.26888027787208557,0.14725922048091888,25.409988403320312
701,regret_early,1.464421033859253,0.13368698954582214,29.25176239013672
737,regret_early,1.579627275466919,0.02041298896074295,18.983823776245117
719,regret_early,0.5078492760658264,0.06235655024647713,21.2152099609375
728,regret_early,0.06235469505190849,0.2699926197528839,26.205888748168945
713,regret_early,2.123244285583496,0.023668406531214714,18.732006072998047
710,regret_early,0.028768515214323997,0.0316762700676918,5.179811477661133
716,regret_early,1.210147738456726,0.25895658135414124,31.340856552124023
738,regret_late,1.3233555555343628,0.1153443455696106,25.128868103027344
711,regret_late,0.06637412309646606,0.14143618941307068,16.17325782775879
717,regret_late,0.035780925303697586,0.05847456306219101,6.81528377532959
744,regret_late,0.03804655373096466,0.02793801948428154,3.035522937774658
714,regret_late,0.5023250579833984,0.02538563311100006,8.438959121704102
