participant,condition,mean_omega,median_omega
860,regret_late,1.0640429258346558,0.9717420935630798
835,regret_late,0.025452131405472755,0.015745818614959717
753,regret_late,0.11068041622638702,0.08622892200946808
833,regret_late,0.22323904931545258,0.1647835373878479
841,regret_late,0.019336747005581856,0.015145602636039257
806,regret_late,1.6762365102767944,1.5942208766937256
811,regret_late,0.05441354960203171,0.038474053144454956
823,regret_late,0.021012816578149796,0.0166761614382267
764,regret_late,0.11367537081241608,0.08271904289722443
863,regret_late,0.019010083749890327,0.013037964701652527
780,regret_late,0.33704355359077454,0.2892894744873047
770,regret_late,2.2833123207092285,2.265427350997925
795,regret_late,0.021620383486151695,0.016533661633729935
813,regret_late,0.02140185981988907,0.014040919952094555
758,regret_late,0.9385012984275818,0.8865798711776733
786,regret_late,0.06403657048940659,0.04688749462366104
831,regret_late,0.016884278506040573,0.013766137883067131
800,regret_late,0.026038888841867447,0.017977913841605186
762,regret_late,0.08457639813423157,0.0635838583111763
815,regret_late,0.006966287735849619,0.005575710441917181
875,regret_late,0.026592660695314407,0.018561750650405884
869,regret_late,1.334608554840088,1.3364311456680298
778,regret_late,1.8644846677780151,1.6391524076461792
842,regret_late,0.08932507038116455,0.0678814947605133
766,regret_late,0.042685616761446,0.030243797227740288
844,regret_late,0.018479513004422188,0.014007088728249073
776,regret_late,0.35546621680259705,0.256894052028656
867,regret_late,0.04290033131837845,0.0309595949947834
821,regret_late,0.2202528864145279,0.1655333936214447
871,regret_late,0.3492134213447571,0.26446399092674255
838,regret_late,0.05731223523616791,0.04345501959323883
854,regret_late,2.3880677223205566,2.4624526500701904
802,regret_late,0.08622949570417404,0.07513552159070969
827,regret_late,0.0152512788772583,0.012277642264962196
849,regret_late,0.04495622590184212,0.029330039396882057
856,regret_late,0.5931134223937988,0.4144967198371887
797,regret_late,1.2572766542434692,1.066818356513977
804,regret_late,0.8125540614128113,0.7869856357574463
752,regret_late,3.886425495147705,3.795492172241211
861,regret_late,1.4079426527023315,1.4595118761062622
817,regret_late,0.10581063479185104,0.08632493019104004
858,regret_late,0.027401097118854523,0.020410683006048203
840,regret_late,0.03043624944984913,0.0215917881578207
774,regret_late,0.21842999756336212,0.1884153187274933
819,regret_late,0.06491713225841522,0.04341154545545578
807,regret_late,0.02900606021285057,0.01873927190899849
829,regret_late,0.008341796696186066,0.004725256469100714
792,regret_late,0.016396643593907356,0.010297058150172234
782,regret_late,0.02260155789554119,0.016776729375123978
873,regret_late,0.04625224322080612,0.03352316841483116
852,regret_late,0.03480950742959976,0.022064127027988434
865,regret_late,0.16339941322803497,0.12414474785327911
772,regret_late,0.04220297932624817,0.03378654271364212
768,regret_late,2.0937538146972656,1.8911718130111694
846,regret_late,0.831535816192627,0.692421555519104
880,control,0.0,0.0
898,control,0.0,0.0
941,control,0.0,0.0
942,control,0.0,0.0
924,control,0.0,0.0
940,control,0.0,0.0
906,control,0.0,0.0
912,control,0.0,0.0
916,control,0.0,0.0
939,control,0.0,0.0
900,control,0.0,0.0
894,control,0.0,0.0
935,control,0.0,0.0
918,control,0.0,0.0
910,control,0.0,0.0
886,control,0.0,0.0
927,control,0.0,0.0
913,control,0.0,0.0
917,control,0.0,0.0
911,control,0.0,0.0
885,control,0.0,0.0
938,control,0.0,0.0
931,control,0.0,0.0
926,control,0.0,0.0
923,control,0.0,0.0
932,control,0.0,0.0
899,control,0.0,0.0
905,control,0.0,0.0
897,control,0.0,0.0
888,control,0.0,0.0
920,control,0.0,0.0
903,control,0.0,0.0
915,control,0.0,0.0
934,control,0.0,0.0
893,control,0.0,0.0
929,control,0.0,0.0
881,control,0.0,0.0
922,control,0.0,0.0
925,control,0.0,0.0
907,control,0.0,0.0
882,control,0.0,0.0
930,control,0.0,0.0
943,control,0.0,0.0
892,control,0.0,0.0
933,control,0.0,0.0
914,control,0.0,0.0
890,control,0.0,0.0
887,control,0.0,0.0
901,control,0.0,0.0
944,control,0.0,0.0
937,control,0.0,0.0
896,control,0.0,0.0
909,control,0.0,0.0
884,control,0.0,0.0
936,control,0.0,0.0
908,control,0.0,0.0
785,regret_early,0.18024645745754242,0.16587238013744354
775,regret_early,0.5840420722961426,0.5041712522506714
822,regret_early,0.9508250951766968,0.6945837140083313
839,regret_early,0.02147741988301277,0.015067463740706444
761,regret_early,1.9064701795578003,1.777928352355957
809,regret_early,0.3952479660511017,0.3471851050853729
791,regret_early,0.4385702311992645,0.3960007131099701
857,regret_early,2.418320417404175,2.013822078704834
763,regret_early,2.82145094871521,2.6331326961517334
877,regret_early,1.4887410402297974,1.4942654371261597
796,regret_early,0.25453272461891174,0.19362373650074005
799,regret_early,0.2120831459760666,0.18360395729541779
793,regret_early,1.3657671213150024,1.3061943054199219
853,regret_early,0.33056744933128357,0.26166021823883057
812,regret_early,0.37389054894447327,0.29114896059036255
801,regret_early,0.029733499512076378,0.021160991862416267
832,regret_early,0.1268758624792099,0.10950129479169846
859,regret_early,0.057124488055706024,0.051233865320682526
845,regret_early,0.24049332737922668,0.2198209911584854
769,regret_early,0.544280469417572,0.4046006500720978
814,regret_early,1.539189100265503,1.2937732934951782
864,regret_early,0.5110455751419067,0.4762563407421112
759,regret_early,0.22346456348896027,0.16642968356609344
836,regret_early,3.2524430751800537,3.057445764541626
779,regret_early,0.3326314389705658,0.2302647829055786
773,regret_early,0.10072972625494003,0.06679712980985641
870,regret_early,3.3115272521972656,3.266746759414673
868,regret_early,0.1770107001066208,0.13250470161437988
767,regret_early,4.346855640411377,4.390349388122559
830,regret_early,1.1098235845565796,1.0143861770629883
771,regret_early,0.24205689132213593,0.20060637593269348
777,regret_early,0.021147655323147774,0.017052780836820602
872,regret_early,0.08073257654905319,0.052433986216783524
803,regret_early,0.24417705833911896,0.18235421180725098
783,regret_early,0.062795490026474,0.046534255146980286
866,regret_early,0.9562619924545288,0.8162911534309387
855,regret_early,2.9331893920898438,3.1086301803588867
876,regret_early,2.327763319015503,2.1159777641296387
754,regret_early,0.34277263283729553,0.23794209957122803
755,regret_early,0.01387080643326044,0.009523682296276093
850,regret_early,0.0913584977388382,0.07228844612836838
828,regret_early,0.03570898622274399,0.0230020210146904
820,regret_early,0.05037222430109978,0.03896955028176308
818,regret_early,0.2707746624946594,0.19160476326942444
787,regret_early,0.01421223022043705,0.009958441369235516
843,regret_early,2.7872886657714844,3.0235142707824707
848,regret_early,0.19295033812522888,0.15755939483642578
805,regret_early,2.3703219890594482,1.9600399732589722
874,regret_early,0.1640309989452362,0.1292915642261505
765,regret_early,0.20560400187969208,0.1407633125782013
789,regret_early,0.08943894505500793,0.06494901329278946
826,regret_early,0.49215567111968994,0.4492354393005371
757,regret_early,0.42379847168922424,0.39208516478538513
701,regret_early,4.282586097717285,4.388923168182373
737,regret_early,0.9932898879051208,0.9140699505805969
719,regret_early,0.5692795515060425,0.513024091720581
728,regret_early,0.5840297937393188,0.547478437423706
713,regret_early,1.7212483882904053,1.59391450881958
710,regret_early,0.01296042650938034,0.009998591616749763
716,regret_early,3.211758852005005,3.237602710723877
738,regret_late,1.9210859537124634,1.8451011180877686
711,regret_late,0.30226534605026245,0.1931775063276291
717,regret_late,0.021395154297351837,0.014678588137030602
744,regret_late,0.027298809960484505,0.01797543466091156
714,regret_late,0.16069644689559937,0.12036363035440445
